"Style";"String";"ChatGPT";"Llama 2 7B";"NeuroParsCit"
"alphabetic";"[Coo15]I. Diane Cooper. “Bibliometrics basics”. In: JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION 103.4 (2015), pp. 217–218. issn: 1536-5050. doi: 10.3163/1536-5050.103.4.013.";"@article{cooper2015bibliometrics,   author    = {I. Diane Cooper},   title     = {Bibliometrics basics},   journal   = {Journal of the Medical Library Association},   year      = {2015},   volume    = {103},   number    = {4},   pages     = {217--218},   issn      = {1536-5050},   doi       = {10.3163/1536-5050.103.4.013}, }  ";"@article{Coo15, title={Bibliometrics basics}, author={I. Diane Cooper}, journal=JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION, volume={103}, issue={4}, pages={217-218}, issn={1536-5050}, doi={10.3163/1536-5050.103.4.013}, }";"[Coo15]I. PAGES Diane AUTHOR Cooper. AUTHOR “Bibliometrics AUTHOR basics”. TITLE In: TITLE JOURNAL JOURNAL OF JOURNAL THE JOURNAL MEDICAL JOURNAL LIBRARY JOURNAL ASSOCIATION JOURNAL 103.4 VOLUME (2015), DATE pp. PAGES 217–218. PAGES issn: VOLUME 1536-5050. PAGES doi: NOTES 10.3163/1536-5050.103.4.013. PAGES"
"alphabetic";"[SCH81]AM SCHRADER. “TEACHING BIBLIOMETRICS”. In: LIBRARY TRENDS 30.1 (1981), pp. 151–159. issn: 0024-2594.";"@article{schroeder1981teaching,   author    = {AM Schrader},   title     = {Teaching bibliometrics},   journal   = {Library Trends},   year      = {1981},   volume    = {30},   number    = {1},   pages     = {151--159},   issn      = {0024-2594}, }  ";"@misc{SCH81, title={TEACHING BIBLIOMETRICS}, author={AM SCHRADER}, journal=LIBRARY TRENDS, volume={30}, issue={1}, pages={151-159}, issn={0024-2594}, }";"[SCH81]AM TITLE SCHRADER. TITLE “TEACHING TITLE BIBLIOMETRICS”. TITLE In: JOURNAL LIBRARY JOURNAL TRENDS JOURNAL 30.1 VOLUME (1981), DATE pp. PAGES 151–159. PAGES issn: NOTES 0024-2594. PAGES"
"alphabetic";"[POT81]WG POTTER. “BIBLIOMETRICS - INTRODUCTION”. In: LIBRARY TRENDS 30.1 (1981), pp. 5–7. issn: 0024-2594.";"@article{potter1981bibliometrics,   author    = {WG Potter},   title     = {Bibliometrics - Introduction},   journal   = {Library Trends},   year      = {1981},   volume    = {30},   number    = {1},   pages     = {5--7},   issn      = {0024-2594}, }  ";"@misc{POT81, title={BIBLIOMETRICS - INTRODUCTION}, author={WG POTTER}, journal=LIBRARY TRENDS, volume={30}, issue={1}, pages={5-7}, issn={0024-2594}, }";"[POT81]WG AUTHOR POTTER. TITLE “BIBLIOMETRICS TITLE - TITLE INTRODUCTION”. JOURNAL In: JOURNAL LIBRARY JOURNAL TRENDS JOURNAL 30.1 VOLUME (1981), DATE pp. PAGES 5–7. PAGES issn: NOTES 0024-2594. PAGES"
"alphabetic";"[Sch21]Andras Schubert. “Handbook Bibliometrics”. In: SCIENTOMETRICS 126.6 (2021), pp. 5379–5385. issn: 0138-9130. doi: 10.1007/s11192- 021- 03975- 2.";"@article{schubert2021handbook,   author    = {Andras Schubert},   title     = {Handbook Bibliometrics},   journal   = {Scientometrics},   year      = {2021},   volume    = {126},   number    = {6},   pages     = {5379--5385},   issn      = {0138-9130},   doi       = {10.1007/s11192-021-03975-2}, }  ";"@article{Sch21, title={Handbook Bibliometrics}, author={Schubert, Andras}, journal={Scientometrics}, volume={126}, issue={6}, pages={5379\u20135385}, issn={0138-9130}, doi={10.1007/s11192-021-03975-2}, }";"[Sch21]Andras AUTHOR Schubert. AUTHOR “Handbook TITLE Bibliometrics”. TITLE In: JOURNAL SCIENTOMETRICS JOURNAL 126.6 VOLUME (2021), DATE pp. PAGES 5379–5385. PAGES issn: NOTES 0138-9130. PAGES doi: NOTES 10.1007/s11192- PAGES 021- PAGES 03975- PAGES 2. PAGES"
"alphabetic";"[Ben+19]Tor A. Benjaminsen et al. “Beyond bibliometrics”. In: POLITICAL GEOGRAPHY 68 (2019), A1–A2. issn: 0962-6298. doi: 10.1016/j.polgeo.2018.12.004.";"@article{benjaminsen2019beyond,   author    = {Tor A. Benjaminsen and others},   title     = {Beyond bibliometrics},   journal   = {Political Geography},   year      = {2019},   volume    = {68},   pages     = {A1--A2},   issn      = {0962-6298},   doi       = {10.1016/j.polgeo.2018.12.004}, }  ";"@article{Ben+19, title={Beyond bibliometrics}, author={Benjaminsen, Tor A. et al.), journal={Political Geography}, volume={68}, pages={A1\u2013A2}, issn={0962-6298}, doi={10.1016/j.polgeo.2018.12.004}, }";"[Ben+19]Tor AUTHOR A. AUTHOR Benjaminsen AUTHOR et AUTHOR al. AUTHOR “Beyond TITLE bibliometrics”. TITLE In: TITLE POLITICAL JOURNAL GEOGRAPHY JOURNAL 68 VOLUME (2019), DATE A1–A2. VOLUME issn: VOLUME 0962-6298. PAGES doi: NOTE 10.1016/j.polgeo.2018.12.004. NOTE"
"alphabetic";"[Sch09]Gilles-Maurice de Schryver. “Bibliometrics in Lexicography”. In: INTERNATIONAL JOURNAL OF LEXICOGRAPHY 22.4 (2009), pp. 423–465. issn: 0950-3846. doi: 10.1093/ijl/ecp027.";"@article{de2009bibliometrics,   author    = {Gilles-Maurice de Schryver},   title     = {Bibliometrics in Lexicography},   journal   = {International Journal of Lexicography},   year      = {2009},   volume    = {22},   number    = {4},   pages     = {423--465},   issn      = {0950-3846},   doi       = {10.1093/ijl/ecp027}, }  ";"@article{Sch09, title={Bibliometrics in Lexicography}, author={de Schryver, Gilles-Maurice}, journal={International Journal of Lexicography}, volume={22}, pages={423\u2013465}, issn={0950-3846}, doi={10.1093/ijl/ecp027}, }";"[Sch09]Gilles-Maurice AUTHOR de AUTHOR Schryver. AUTHOR “Bibliometrics TITLE in TITLE Lexicography”. BOOKTITLE In: BOOKTITLE INTERNATIONAL BOOKTITLE JOURNAL JOURNAL OF JOURNAL LEXICOGRAPHY JOURNAL 22.4 VOLUME (2009), DATE pp. PAGES 423–465. PAGES issn: VOLUME 0950-3846. PAGES doi: NOTE 10.1093/ijl/ecp027. PAGES"
"alphabetic";"[KBVZ21]Peter Kokol, Helena Blazun Vosner, and Jernej Zavrsnik. “Application of bibliometrics in medicine: a historical bibliometrics analysis”. In: HEALTH INFORMATION AND LIBRARIES JOURNAL 38.2 (2021), pp. 125–138. issn: 1471-1834. doi: 10.1111/hir.12295.";"@article{kokol2021application,   author    = {Peter Kokol and Helena Blazun Vosner and Jernej Zavrsnik},   title     = {Application of bibliometrics in medicine: a historical bibliometrics analysis},   journal   = {Health Information and Libraries Journal},   year      = {2021},   volume    = {38},   number    = {2},   pages     = {125--138},   issn      = {1471-1834},   doi       = {10.1111/hir.12295}, }  ";"@article{KBVZ21, title={Application of bibliometrics in medicine: a historical bibliometrics analysis}, author={Kokol, Peter et al.), journal={Health Information and Libraries Journal}, volume={38}, pages={125\u2013138}, issn={1471-1834}, doi={10.1111/hir.12295}, }";"[KBVZ21]Peter AUTHOR Kokol, AUTHOR Helena AUTHOR Blazun AUTHOR Vosner, AUTHOR and AUTHOR Jernej AUTHOR Zavrsnik. AUTHOR “Application TITLE of TITLE bibliometrics TITLE in TITLE medicine: TITLE a TITLE historical TITLE bibliometrics TITLE analysis”. TITLE In: TITLE HEALTH BOOKTITLE INFORMATION JOURNAL AND JOURNAL LIBRARIES JOURNAL JOURNAL JOURNAL 38.2 VOLUME (2021), DATE pp. PAGES 125–138. PAGES issn: PAGES 1471-1834. PAGES doi: PAGES 10.1111/hir.12295. PAGES"
"alphabetic";"[The08]Mike Thelwall. “Bibliometrics to webometrics”. In: JOURNAL OF INFORMATION SCIENCE 34.4 (2008), pp. 605–621. issn: 0165-5515. doi: 10.1177/0165551507087238.";"@article{thelwall2008bibliometrics,   author    = {Mike Thelwall},   title     = {Bibliometrics to webometrics},   journal   = {Journal of Information Science},   year      = {2008},   volume    = {34},   number    = {4},   pages     = {605--621},   issn      = {0165-5515},   doi       = {10.1177/0165551507087238}, }  ";"@article{The08, title={Bibliometrics to webometrics}, author={Thelwall, Mike}, journal={Journal of Information Science}, volume={34}, pages={605\u2013621}, issn={0165-5515}, doi={10.1177/0165551507087238}, }";"[The08]Mike AUTHOR Thelwall. AUTHOR “Bibliometrics TITLE to TITLE webometrics”. TITLE In: TITLE JOURNAL JOURNAL OF JOURNAL INFORMATION JOURNAL SCIENCE JOURNAL 34.4 VOLUME (2008), DATE pp. PAGES 605–621. PAGES issn: VOLUME 0165-5515. PAGES doi: NOTES 10.1177/0165551507087238. PAGES"
"alphabetic";"[Lan97]FW Lancaster. “Dictionary of bibliometrics”. In: JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE 48.5 (1997), p. 480. issn: 0002-8231. doi: 10.1002/(SICI)1097-4571(199705)48:5<480::AID-ASI18>3.0.CO;2-2.";"@article{lancaster1997dictionary,   author    = {FW Lancaster},   title     = {Dictionary of bibliometrics},   journal   = {Journal of the American Society for Information Science},   year      = {1997},   volume    = {48},   number    = {5},   pages     = {480},   issn      = {0002-8231},   doi       = {10.1002/(SICI)1097-4571(199705)48:5<480::AID-ASI18>3.0.CO;2-2}, }  ";"@article{Lan97, title={Dictionary of bibliometrics}, author={Lancaster, FW}, journal={JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE}, volume={48}, issue={5}, pages={480-481}, issn={0002-8231}, doi={10.1002/(SICI)1097-4571(199705)48:5<480::AID-ASI18>3.0.CO;2-2}, } ";"[Lan97]FW AUTHOR Lancaster. AUTHOR “Dictionary TITLE of TITLE bibliometrics”. TITLE In: TITLE JOURNAL NOTES OF JOURNAL THE JOURNAL AMERICAN JOURNAL SOCIETY JOURNAL FOR JOURNAL INFORMATION JOURNAL SCIENCE JOURNAL 48.5 VOLUME (1997), DATE p. PAGES 480. PAGES issn: NOTES 0002-8231. PAGES doi: NOTE 10.1002/(SICI)1097-4571(199705)48:5<480::AID-ASI18>3.0.CO;2-2. NOTE"
"alphabetic";"[BRO85]BC BROOKES. “DEVELOPMENTS IN BIBLIOMETRICS”. In: JOURNAL OF INFORMATION SCIENCE 10.2 (1985), pp. 91–92. issn: 0165-5515. doi: 10.1177/016555158501000206.";"@article{BRO85,   author = {B.C. Brookes},   title = {Developments in Bibliometrics},   journal = {Journal of Information Science},   volume = {10},   number = {2},   year = {1985},   pages = {91--92},   issn = {0165-5515},   doi = {10.1177/016555158501000206}, }  ";"@article{BRO85, title={DEVELOPMENTS IN BIBLIOMETRICS}, author={BROOKES, BC}, journal={JOURNAL OF INFORMATION SCIENCE}, volume={10}, issue={2}, pages={91-92}, issn={0165-5515}, doi={10.1177/016555158501000206}, }";"[BRO85]BC DATE BROOKES. AUTHOR “DEVELOPMENTS AUTHOR IN AUTHOR BIBLIOMETRICS”. AUTHOR In: AUTHOR JOURNAL JOURNAL OF JOURNAL INFORMATION JOURNAL SCIENCE JOURNAL 10.2 VOLUME (1985), DATE pp. PAGES 91–92. PAGES issn: NOTES 0165-5515. PAGES doi: NOTES 10.1177/016555158501000206. PAGES"
"alphabetic";"[GL11]Uta Grothkopf and Jill Lagerstrom. “Telescope Bibliometrics 101”. In: FUTURE PROFESSIONAL COMMUNICATION IN ASTRONOMY II. Ed. by A Accomazzi. Astrophysics and Space Science Proceedings. 2nd Colloquium on Future Professional Communication in Astronomy (FPCA II), Harvard-Smithsonian Ctr Astrophys, Cambridge, MA, APR 13-14, 2010. Smithsonian Astrophys Observatory; Amer Astronom Soc; EDP Sci; Wiley-Blackwell; IOP Publish; Springer; Elsevier. 2011, pp. 109+. isbn: 978-1-4419-8368-8. doi: 10.1007/978- 1-4419- 8369- 5\_12.";"@inproceedings{GL11,   author = {Uta Grothkopf and Jill Lagerstrom},   title = {Telescope Bibliometrics 101},   booktitle = {Future Professional Communication in Astronomy II},   editor = {A. Accomazzi},   series = {Astrophysics and Space Science Proceedings},   year = {2011},   pages = {109+},   isbn = {978-1-4419-8368-8},   doi = {10.1007/978-1-4419-8369-5\_12}, }  ";"@article{GL11, title={Telescope Bibliometrics 101}, author={Grothkopf, Uta and Lagerstrom, Jill}, journal={FUTURE PROFESSIONAL COMMUNICATION IN ASTRONOMY II}, pages={109+}, issn={1441-9836}, doi={10.1007/978-1-4419-8369-5_12}, }";"[GL11]Uta AUTHOR Grothkopf AUTHOR and AUTHOR Jill AUTHOR Lagerstrom. AUTHOR “Telescope TITLE Bibliometrics TITLE 101”. TITLE In: TITLE FUTURE TITLE PROFESSIONAL TITLE COMMUNICATION JOURNAL IN JOURNAL ASTRONOMY JOURNAL II. AUTHOR Ed. EDITOR by AUTHOR A TITLE Accomazzi. TITLE Astrophysics TITLE and BOOKTITLE Space BOOKTITLE Science BOOKTITLE Proceedings. BOOKTITLE 2nd BOOKTITLE Colloquium BOOKTITLE on BOOKTITLE Future BOOKTITLE Professional BOOKTITLE Communication BOOKTITLE in BOOKTITLE Astronomy BOOKTITLE (FPCA BOOKTITLE II), BOOKTITLE Harvard-Smithsonian BOOKTITLE Ctr BOOKTITLE Astrophys, BOOKTITLE Cambridge, LOCATION MA, LOCATION APR BOOKTITLE 13-14, DATE 2010. DATE Smithsonian BOOKTITLE Astrophys BOOKTITLE Observatory; BOOKTITLE Amer BOOKTITLE Astronom BOOKTITLE Soc; BOOKTITLE EDP BOOKTITLE Sci; BOOKTITLE Wiley-Blackwell; BOOKTITLE IOP BOOKTITLE Publish; BOOKTITLE Springer; BOOKTITLE Elsevier. PUBLISHER 2011, DATE pp. PAGES 109+. PAGES isbn: NOTES 978-1-4419-8368-8. PAGES doi: NOTES 10.1007/978- PAGES 1-4419- PAGES 8369- PAGES 5\_12. PAGES"
"alphabetic";"[SVW17]Paula Stephan, Reinhilde Veugelers, and Jian Wang. “Blinkered by bibliometrics”. In: NATURE 544.7651 (2017), pp. 411+. issn: 0028-0836. doi: 10.1038/544411a.";"@article{SVW17,   author = {Paula Stephan and Reinhilde Veugelers and Jian Wang},   title = {Blinkered by Bibliometrics},   journal = {Nature},   volume = {544},   number = {7651},   year = {2017},   pages = {411+},   issn = {0028-0836},   doi = {10.1038/544411a}, }  ";"@article{SVW17, title={Blinkered by bibliometrics}, author={Stephan, Paula and Veugelers, Reinhilde and Wang, Jian}, journal={NATURE}, pages={411+}, issn={0028-0836}, doi={10.1038/544411a}, }";"[SVW17]Paula AUTHOR Stephan, AUTHOR Reinhilde EDITOR Veugelers, EDITOR and AUTHOR Jian AUTHOR Wang. AUTHOR “Blinkered TITLE by TITLE bibliometrics”. TITLE In: TITLE NATURE JOURNAL 544.7651 PAGES (2017), DATE pp. PAGES 411+. NOTES issn: NOTES 0028-0836. PAGES doi: NOTES 10.1038/544411a. NOTES"
"alphabetic";"[SIM82]HR SIMON. “BIBLIOMETRICS - POTTER,WG”. In: NACHRICHTEN FUR DOKUMENTATION 33.6 (1982), pp. 257–258. issn: 0027-7436.";"@article{SIM82,   author = {H.R. Simon},   title = {Bibliometrics - Potter, WG},   journal = {Nachrichten fur Dokumentation},   volume = {33},   number = {6},   year = {1982},   pages = {257--258},   issn = {0027-7436}, }  ";"@article{SIM82, title={Bibliometrics - Potter, WG}, author={SIMON, HR}, journal={NACHRICHTEN FUR DOKUMENTATION}, pages={257-258}, issn={0027-7436}, }";"[SIM82]HR AUTHOR SIMON. AUTHOR “BIBLIOMETRICS AUTHOR - AUTHOR POTTER,WG”. AUTHOR In: TITLE NACHRICHTEN JOURNAL FUR JOURNAL DOKUMENTATION JOURNAL 33.6 VOLUME (1982), DATE pp. PAGES 257–258. PAGES issn: NOTES 0027-7436. PAGES"
